  4 Non Blondes -  Whats Up?
  Backstreet Boys -  Get Down (Youre The One For Me)
  Backstreet Boys -  Get Down (Youre The One For Me)
  Backstreet Boys -  I Want It That Way
  Backstreet Boys -  I Want It That Way
  Backstreet Boys -  Shape Of My Heart
  Backstreet Boys -  Show Me The Meaning Of Being Lonely
  Backstreet Boys -  Show Me The Meaning Of Being Lonely
  Backstreet Boys -  The One
  Backstreet Boys -  The One
  Backstreet Boys -  The One
  Bad Boys Blue -  A Train To Nowhere
  Bad Boys Blue -  A Train To Nowhere
  Bad Boys Blue -  A Train To Nowhere
  Bad Boys Blue -  A Train To Nowhere
  Bad Boys Blue -  A Train To Nowhere
  Bad Boys Blue -  A Train To Nowhere
  Bad Boys Blue -  Gimme Gimme Your Lovin
  Bad Boys Blue -  Hungry For Love
  Bad Boys Blue -  I Wanna Hear Your Heartbeat (Sunday Girl)
  Bad Boys Blue -  I Wanna Hear Your Heartbeat (Sunday Girl)
  Bad Boys Blue -  I Wanna Hear Your Heartbeat (Sunday Girl)
  Bad Boys Blue -  Pretty Young Girl (Re-Recorded 2010)
  Bad Boys Blue -  Pretty Young Girl (Re-Recorded 2010)
  Bad Boys Blue -  Pretty Young Girl (Re-Recorded 2010)
  Bad Boys Blue -  Pretty Young Girl/Youre A Woman/I Wanna Hear Your Heartbeat/A World Without You/Lady In.
  Bad Boys Blue -  Pretty Young Girl/Youre A Woman/I Wanna Hear Your Heartbeat/A World Without You/Lady In.
  Bad Boys Blue -  Pretty Young Girl/Youre A Woman/I Wanna Hear Your Heartbeat/A World Without You/Lady In.
  Bad Boys Blue -  Pretty Young Girl/Youre A Woman/I Wanna Hear Your Heartbeat/A World Without You/Lady In.
  Bad Boys Blue -  Pretty Young Girl/Youre A Woman/I Wanna Hear Your Heartbeat/A World Without You/Lady In.
  Bad Boys Blue -  Youre A Woman
  Bad Boys Blue -  Youre A Woman
  Baltimora -  Tarzan Boy
  Baltimora -  Tarzan Boy
  Bangles -  Eternal Flame
  Bangles -  Eternal Flame
  Barbra Streisand -  Memory
  Barbra Streisand -  Woman In Love
  Bee Gees -  Stayin Alive
  Bee Gees -  Stayin Alive
  Bee Gees -  Stayin Alive
  Bee Gees -  Stayin Alive
  Bee Gees -  Stayin Alive
  Bee Gees -  Stayin Alive
  Bee Gees -  Too Much Heaven
  Bee Gees -  Too Much Heaven
  Bee Gees -  Too Much Heaven
  Bee Gees -  Too Much Heaven
