  4 Non Blondes -  Whats Up?
  Gipsy Kings -  Pida Me La
  Gipsy Kings -  Volare (Nel Blu Di Pinto Di Blu)
  Glenn Medeiros -  Nothings Gonna Change My Love For You
  Gloria Gaynor -  I Will Survive
  Gotye Feat. Kimbra -  Somebody That I Used To Know
  Graaf -  Heartbreaker
  Green Day -  Boulevard Of Broken Dreams
  Guns N Roses -  Dont Cry
  Guns N Roses -  November Rain
  H2O -  Uzmini Nu
  Haddaway -  I Miss You
  Haddaway -  Life
  Haddaway -  What Is Love
  Harry Nilsson -  Without You
  Helen St. John -  Love Theme From Flashdance
  Hermans Hermits -  No Milk Today
  Holmen Hustlers -  Vvv
  Hoobastank -  The Reason
  Hurts -  Stay
  INXS -  Beautiful Girl
  Ieva Karevica Un Igo -  Meitenes Vel Pasakam Tic
  Igo -  Alises Iela
  Igo -  Bet Dzīvē Viss Ir Savādāk
  Igo -  Dziesma Sniegbaltītei
  Igo -  Vienmēr Būs Kāds
  Imany -  Dont Be So Shy (Filatov & Karas Remix)
  In-Grid -  Tu Es Foutu
  Ingus Pētersons -  Mana Sirds Ir Brīva
  Ingus Ulmanis & Aigars Voitišķis -  Mākonis
  Ingus Ulmanis & Aigars Voitišķis -  Prom No Pilsētas
  Ingus Ulmanis & Aigars Voitišķis -  Pārsteigums
  Inner Circle -  Games People Play
  Instrumenti -  Zemeslodes
  Irene Cara -  Flashdance (What A Feeling)
  Ivo Fomins -  Lai jau deg
  Ivo Fomins -  Mēs Dzīvojam Pasakā
  Ivo Fomins -  Nekas Jau Nebeidzas
  Ivo Fomins -  Nāc
  Ivo Fomins -  Parak Daudz
  Ivo Fomins -  Putni Bez Spārniem (Akustiskā Versija)
  Ivo Fomins -  Rudens
  Ivo Fomins -  Tālāk ir tuvāk
  James Blunt -  Ill Be Your Man
  James Blunt -  When I Find Love Again
  James Brown -  I Got You (I Feel Good)
  Jasper Forks -  River Flows In You (Single Mg Mix)
  Jauns Mēness -  Kad Mēness Jūrā Krīt
  Jauns Mēness -  Man ir gandrīz viss
  Jauns Mēness -  Piekūns Skrien Debesīs
  Jeanette -  Rock My Life
  Jennifer Lopez -  Aint It Funny
  Jennifer Rush -  The Power Of Love
  Jenny May -  Nāk Nakts
  Jerry Ropero & Stefan Gruenwald Feat. Gitano -  Cancion Del Mariachi (Extended Mix)
  Jewel -  Hands
  Jimmy Somerville -  To Love Somebody
  Jimmy Somerville With June Miles Kingston -  Comment Te Dire Adieu
  Joan Jett & The Blackhearts -  I Love Rock N Roll
  Joan Osborne -  One Of Us
  Joe Cocker -  Summer In The City
  Joe Cocker -  You Are So Beautiful
  Joe Dassin -  A Toi
  Joe Dassin -  Et Si Tu Nexistais Pas
  Joe Dassin -  Le Petit Pain Au Chocolat
  Joe Dassin -  Les Champs-Elysées
  Joe Dassin -  Salut (Dj Кефир)
  John Farnham -  Youre The Voice
  John Legend -  All Of Me
  John Lennon -  Imagine
  John Waite -  Missing You
  Johnny Hates Jazz -  Shattered Dreams
  Johnny Hates Jazz -  Turn Back The Clock
  Jon Secada -  Just Another Day
  José Orlando -  Vou te buscar denovo
  Joy -  Joy Discofox Party Maxi Hit-Mix (Bonus Track)
  Joy -  Touch By Touch
  Joy -  Valerie
  Juanes -  La Camisa Negra
  Juanes -  Volverte A Ver
  Julian Lennon -  Too Late For Goodbyes
  Julio Iglesias -  Corazón De Papel
  Julio Iglesias -  Mammy Blue
  Jumprava -  Nedaudz Par Viņu
  Jumprava -  Par Rozēm
  Jumprava -  Tālu aizgāja
  Jumprava -  Vēlreiz
  Jumprava -  Ziemeļmeita
  Jumprava -  Ziemeļmeita (Rl Remix Extended)
  Jumprava -  Ēna
  Jung-A Lee -  Toccata
  Justin Timberlake -  What Goes Around./.Comes Around (Interlude)
  Justin Timberlake -  What Goes Around.Comes Around
  KATŌ -  Es Gāju Par Tālu
  KC & The Sunshine Band -  Give It Up
  KT Tunstall -  Suddenly I See
  Kaoma -  Lambada
  Kaspars Dimiters -  Mana Neveiksminiece
  Kaspars Markševics -  Zibsnī Zvaigznes Aiz Daugavas
  Kate Ryan -  Ella Elle La
  Kate Ryan -  Voyage Voyage
  Katrina & The Waves -  Walking On Sunshine
  Katy Perry -  Hot N Cold
  Kaža -  Ieskaties
  Kaža -  Tiešs Jautājums Sev
  Kid Rock -  All Summer Long
  Kim Wilde -  You Came
  Kristaps Pujāts -  Neprāts
  Kristīna Zaharova -  Kaut Es Spētu Izlikties
  Kygo Feat. Ella Henderson -  Here For You
  Kylie Minogue -  Cant Get You Out Of My Head
  Kylie Minogue -  I Should Be So Lucky
  Kylie Minogue -  The One
  Kylie Minogue -  X Allmixedup
  Kåre Nordstoga -  Concerto In C Major BWV 594-III. Allegro
  LP -  Lost On You
  La Bouche -  Be My Lover
  Labvēlīgais Tips -  Desmitais Tramvajs
  Labvēlīgais Tips -  Paraparita
  Lady Gaga -  Alejandro
  Lady Gaga -  Bad Romance
  Lady Gaga -  Paparazzi
  Laid Back -  Bakerman
  Laid Back -  High Society Girl
  Laid Back -  Sunshine Reggae (Original Mix 82)
  Las Ketchup -  Asereje
  Laura Branigan -  Gloria
  Laura Branigan -  Self Control
  Lauris Reiniks & Rūta Reinika -  Es Esmu Tev Dzīslās
  Lauris Reiniks -  Es Skrienu
  Lauris Reiniks Feat. Lily -  Sirds Sadeg Neparasti (Remix)
  Lauris Reiniks Feat. Lily -  Tev Šodien Vienalga
  LeAnn Rimes -  Cant Fight The Moonlight (Theme From Coyote Ugly)
  Lene Marlin -  Sitting Down Here
  Lene Marlin -  Unforgivable Sinner
  Leona Lewis -  Bleeding Love
  Liepājas Brāļi -  Tikai Tā
  Lighthouse Family -  High
  Lily Allen -  Smile
  Limahl -  Never Ending Story
  Linda Leen & Arnis Mednis & Sonora Vaice -  Noktirne
  Linda Leen & Arnis Mednis -  Not To Fall Again
  Linga -  Gan
  Linga -  Krodziņš
  Linga -  Spārni
  Lionel Richie -  Hello
  Lionel Richie -  Just For You
  Londonbeat -  Ive Been Thinking About You
  Lorde -  Royals
  Los Lobos -  La Bamba
